landscape_no,crop_name,area
L03,Banana,1.052184294
L03,Beans,8.538880233
L03,Finger Millet,1.052184294
L03,Irish potatoes,0.6070294
L03,Maize,42.37065215
L03,Wheat,20.64911677
L10,Beans,0.809372534
L10,Maize,37.13603529
L10,Sorghum,0.445154894
L10,Soyabeans,0.6070294
L10,Sweet Potatoes,0.24281176
L11,Beans,3.116084256
L11,Maize,28.94518525
L11,sugar Cane,0.890309787
L11,Tomatoes,0.070820097
L18,Beans,0.040468627
L18,Groundnut,0.930778414
L18,Maize,28.43325712
L18,Onions,40.84700836
L18,Tomatoes,0.374334797
L19,Cassava,0.283280387
L19,Maize,15.40235932
L19,Paddy,54.39995144
L19,Sesame,0.57667793
L20,Bulrush Millet,4.492017563
L20,Groundnut,0.040468627
L20,Maize,39.1129277
L20,Paddy,45.87118836
L20,sugar Cane,1.052184294
L22,Cassava,7.082009672
L22,Maize,7.369336922
L22,Paddy,16.03569333
L22,Sesame/Simsim,3.197021509
L22,Sorghum,1.740150948