type,name,Grangercauses,ARord,Fvalue,prob
part,MAXT,EVI,2,0.013788404,0.189853485
cond,MAXT,EVI,2,0.006930418,0.420503577
part,MEANT,EVI,2,0.016380086,0.138927871
cond,MEANT,EVI,2,0.018593327,0.097865047
part,MINT,EVI,2,0.014263881,0.179281575
cond,MINT,EVI,2,0.028146166,0.029650666
part,P,EVI,2,0.027157713,0.037911362
cond,P,EVI,2,0.021597183,0.067229178
part,PET,EVI,2,0.017733326,0.118024182
cond,PET,EVI,2,0.009559852,0.302709553
part,SM,EVI,2,0.00703296,0.428496921
cond,SM,EVI,2,0.007605754,0.386462957
part,SR,EVI,2,0.021804519,0.07226289
cond,SR,EVI,2,0.024067608,0.04936809
part,AMO,EVI,2,0.02022348,0.087428904
cond,AMO,EVI,2,0.021826416,0.065330123
part,PDO,EVI,2,0.00180482,0.804543053
cond,PDO,EVI,2,0.001489609,0.830106663
part,MEI,EVI,2,0.012864624,0.212208258
cond,MEI,EVI,2,0.015552214,0.143126456
part,EVI,MAXT,12,0.094184466,0.457054041
cond,EVI,MAXT,12,0.042408218,0.929418184
part,MEANT,MAXT,12,0.131957367,0.164733195
cond,MEANT,MAXT,12,0.179579552,0.018971457
part,MINT,MAXT,12,0.199568669,0.01426517
cond,MINT,MAXT,12,0.209715426,0.005025979
part,P,MAXT,12,0.132580057,0.161570177
cond,P,MAXT,12,0.053583508,0.842029256
part,PET,MAXT,12,0.137906937,0.136481207
cond,PET,MAXT,12,0.069673181,0.668365026
part,SM,MAXT,12,0.051053883,0.892913014
cond,SM,MAXT,12,0.078365426,0.565789045
part,SR,MAXT,12,0.10839601,0.323749951
cond,SR,MAXT,12,0.094579178,0.386695707
part,AMO,MAXT,12,0.112988919,0.286506606
cond,AMO,MAXT,12,0.055820998,0.820542266
part,PDO,MAXT,12,0.071465017,0.703002678
cond,PDO,MAXT,12,0.084128503,0.499121344
part,MEI,MAXT,12,0.179346973,0.031548842
cond,MEI,MAXT,12,0.065287002,0.719139594
part,EVI,MEANT,12,0.121145112,0.227914466
cond,EVI,MEANT,12,0.054425145,0.834082415
part,MAXT,MEANT,12,0.246234956,0.001977668
cond,MAXT,MEANT,12,0.170384152,0.027875702
part,MINT,MEANT,12,0.246292795,0.001972625
cond,MINT,MEANT,12,0.254523741,0.000599839
part,P,MEANT,12,0.160702014,0.062853792
cond,P,MEANT,12,0.077603738,0.57474395
part,PET,MEANT,12,0.155163628,0.076443427
cond,PET,MEANT,12,0.10763259,0.268686364
part,SM,MEANT,12,0.074620137,0.668754738
cond,SM,MEANT,12,0.07263032,0.63352289
part,SR,MEANT,12,0.096992466,0.428757057
cond,SR,MEANT,12,0.090875857,0.424962738
part,AMO,MEANT,12,0.137697481,0.137403037
cond,AMO,MEANT,12,0.065191146,0.720230717
part,PDO,MEANT,12,0.09183361,0.481359882
cond,PDO,MEANT,12,0.092400492,0.408976925
part,MEI,MEANT,12,0.184829435,0.025552923
cond,MEI,MEANT,12,0.069748726,0.667479117
part,EVI,MINT,12,0.132922395,0.159852265
cond,EVI,MINT,12,0.071437482,0.64761101
part,MAXT,MINT,12,0.195522992,0.01677811
cond,MAXT,MINT,12,0.143499057,0.080256428
part,MEANT,MINT,12,0.113887543,0.279576974
cond,MEANT,MINT,12,0.172543571,0.025491555
part,P,MINT,12,0.150481932,0.089881036
cond,P,MINT,12,0.096681227,0.365858502
part,PET,MINT,12,0.194353417,0.017578439
cond,PET,MINT,12,0.174048603,0.023943046
part,SM,MINT,12,0.084825239,0.556431988
cond,SM,MINT,12,0.060348749,0.773861496
part,SR,MINT,12,0.072365176,0.693294427
cond,SR,MINT,12,0.086487739,0.472616201
part,AMO,MINT,12,0.176062232,0.035735469
cond,AMO,MINT,12,0.085404636,0.484715598
part,PDO,MINT,12,0.127688212,0.18777949
cond,PDO,MINT,12,0.116953938,0.201615637
part,MEI,MINT,12,0.156821709,0.072126013
cond,MEI,MINT,12,0.074369911,0.612940996
part,EVI,P,12,0.064831864,0.772181725
cond,EVI,P,12,0.062358575,0.751991406
part,MAXT,P,12,0.104612139,0.356683576
cond,MAXT,P,12,0.120523344,0.179642283
part,MEANT,P,12,0.078411106,0.627048184
cond,MEANT,P,12,0.083377934,0.507664491
part,MINT,P,12,0.076363244,0.64962551
cond,MINT,P,12,0.07487092,0.607012399
part,PET,P,12,0.048420631,0.911072934
cond,PET,P,12,0.072217544,0.638401599
part,SM,P,12,0.067881777,0.740971768
cond,SM,P,12,0.063040804,0.744433934
part,SR,P,12,0.07073017,0.710883188
cond,SR,P,12,0.066298435,0.707570497
part,AMO,P,12,0.106506341,0.339947751
cond,AMO,P,12,0.128290816,0.138414353
part,PDO,P,12,0.071895682,0.698365091
cond,PDO,P,12,0.071659711,0.644988977
part,MEI,P,12,0.067521037,0.744722811
cond,MEI,P,12,0.064678332,0.726051403
part,EVI,PET,12,0.063159005,0.788757671
cond,EVI,PET,12,0.042397829,0.92948223
part,MAXT,PET,12,0.248308192,0.001804447
cond,MAXT,PET,12,0.162547657,0.038358718
part,MEANT,PET,12,0.128880212,0.181101971
cond,MEANT,PET,12,0.172153426,0.025907834
part,MINT,PET,12,0.063843666,0.782024509
cond,MINT,PET,12,0.168835159,0.029710889
part,P,PET,12,0.117458035,0.253205719
cond,P,PET,12,0.037968983,0.953723645
part,SM,PET,12,0.175689733,0.036241059
cond,SM,PET,12,0.129021695,0.1349727
part,SR,PET,12,0.171830839,0.041876694
cond,SR,PET,12,0.112559257,0.231456062
part,AMO,PET,12,0.102940925,0.371854447
cond,AMO,PET,12,0.04862123,0.885223733
part,PDO,PET,12,0.095204905,0.446673439
cond,PDO,PET,12,0.080180647,0.544556267
part,MEI,PET,12,0.121459278,0.225849839
cond,MEI,PET,12,0.055467279,0.82401474
part,EVI,SM,8,0.062662789,0.214710829
cond,EVI,SM,8,0.043334791,0.449001743
part,MAXT,SM,8,0.051412751,0.355835519
cond,MAXT,SM,8,0.059152992,0.218980984
part,MEANT,SM,8,0.066724661,0.176231926
cond,MEANT,SM,8,0.06893025,0.131265659
part,MINT,SM,8,0.073107243,0.12744708
cond,MINT,SM,8,0.084788725,0.052795442
part,P,SM,8,0.029910718,0.742081818
cond,P,SM,8,0.037185682,0.566051558
part,PET,SM,8,0.038082104,0.585955036
cond,PET,SM,8,0.075176658,0.092673745
part,SR,SM,8,0.05291199,0.33398081
cond,SR,SM,8,0.056840254,0.245490866
part,AMO,SM,8,0.046643608,0.431374839
cond,AMO,SM,8,0.053609844,0.286573369
part,PDO,SM,8,0.019145346,0.914674646
cond,PDO,SM,8,0.029939857,0.712054412
part,MEI,SM,8,0.041999817,0.512783864
cond,MEI,SM,8,0.039580395,0.519140761
part,EVI,SR,11,0.106514066,0.199693474
cond,EVI,SR,11,0.11060606,0.134026115
part,MAXT,SR,11,0.075707984,0.494365415
cond,MAXT,SR,11,0.055587362,0.700661917
part,MEANT,SR,11,0.098167417,0.262452334
cond,MEANT,SR,11,0.056341236,0.690665566
part,MINT,SR,11,0.059802504,0.693527527
cond,MINT,SR,11,0.034637653,0.927589036
part,P,SR,11,0.130974064,0.081630346
cond,P,SR,11,0.131248911,0.057305442
part,PET,SR,11,0.057003503,0.728026545
cond,PET,SR,11,0.024796649,0.979481509
part,SM,SR,11,0.122366986,0.113452543
cond,SM,SR,11,0.124762193,0.075573891
part,AMO,SR,11,0.162644669,0.021811975
cond,AMO,SR,11,0.103397545,0.176164058
part,PDO,SR,11,0.074651727,0.507173909
cond,PDO,SR,11,0.061540815,0.620760556
part,MEI,SR,11,0.07993507,0.444450215
cond,MEI,SR,11,0.047467565,0.802991515
part,EVI,AMO,1,8.63E-05,0.882661352
cond,EVI,AMO,1,0.000234921,0.804246999
part,MAXT,AMO,1,0.001648594,0.51880363
cond,MAXT,AMO,1,0.001905087,0.480300303
part,MEANT,AMO,1,0.004290639,0.29794059
cond,MEANT,AMO,1,0.000915202,0.624693424
part,MINT,AMO,1,0.007977528,0.155819805
cond,MINT,AMO,1,0.001204758,0.574600849
part,P,AMO,1,0.000136913,0.852498544
cond,P,AMO,1,0.000104716,0.868566902
part,PET,AMO,1,0.00306185,0.379253863
cond,PET,AMO,1,0.001046751,0.600843303
part,SM,AMO,1,0.000309682,0.779758768
cond,SM,AMO,1,2.19E-05,0.939711268
part,SR,AMO,1,0.003775747,0.328860801
cond,SR,AMO,1,0.005565425,0.227669436
part,PDO,AMO,1,0.00013277,0.854722044
cond,PDO,AMO,1,7.18E-05,0.891040156
part,MEI,AMO,1,0.000607161,0.695393619
cond,MEI,AMO,1,0.001086956,0.59393583
part,EVI,PDO,6,0.012776936,0.869430252
cond,EVI,PDO,6,0.006714384,0.967676649
part,MAXT,PDO,6,0.022897843,0.614034575
cond,MAXT,PDO,6,0.021496448,0.624717735
part,MEANT,PDO,6,0.013835834,0.845699882
cond,MEANT,PDO,6,0.009167331,0.931252557
part,MINT,PDO,6,0.018185645,0.737837025
cond,MINT,PDO,6,0.010081124,0.914432769
part,P,PDO,6,0.010102144,0.922452124
cond,P,PDO,6,0.005561695,0.979994299
part,PET,PDO,6,0.031790525,0.401296659
cond,PET,PDO,6,0.035061163,0.307015049
part,SM,PDO,6,0.023124524,0.608134349
cond,SM,PDO,6,0.020100312,0.663109838
part,SR,PDO,6,0.040177729,0.250510291
cond,SR,PDO,6,0.041428977,0.206890774
part,AMO,PDO,6,0.061206846,0.063450823
cond,AMO,PDO,6,0.049968697,0.116761257
part,MEI,PDO,6,0.019077997,0.714503787
cond,MEI,PDO,6,0.015191104,0.796342133
part,EVI,MEI,9,0.097092502,0.076218963
cond,EVI,MEI,9,0.087087881,0.097815021
part,MAXT,MEI,9,0.035771314,0.765611484
cond,MAXT,MEI,9,0.028718927,0.845738345
part,MEANT,MEI,9,0.035998089,0.762052599
cond,MEANT,MEI,9,0.027656743,0.860689675
part,MINT,MEI,9,0.047960218,0.565049901
cond,MINT,MEI,9,0.044507163,0.580819906
part,P,MEI,9,0.078850817,0.178987213
cond,P,MEI,9,0.078312224,0.150737134
part,PET,MEI,9,0.023095234,0.929666427
cond,PET,MEI,9,0.028548758,0.848175408
part,SM,MEI,9,0.057478236,0.416936377
cond,SM,MEI,9,0.061680615,0.315102313
part,SR,MEI,9,0.029883476,0.851763203
cond,SR,MEI,9,0.0289165,0.842889467
part,AMO,MEI,9,0.032833181,0.810279144
cond,AMO,MEI,9,0.031693399,0.800829921
part,PDO,MEI,9,0.056458974,0.431790246
cond,PDO,MEI,9,0.062019615,0.310792917